Medicine Name,Used for ,Activity,pregnancy category,Alcohol,Rating,No of Reviews,,Medicine Name222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxycycline,Acne,87%,D(evidence of risk),contains alcohol,6.8,760,,doxycycline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spironolactone,Acne,82%,C(risk cannot be ruled out),contains alcohol,7.2,449,,spironolactone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minocycline,Acne,48%,D(evidence of risk),not contains alcohol,5.7,482,,minocycline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accutane,Acne,41%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,7.9,623,,Accutane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindamycin,Acne,39%,B(no risk in animal studies),not contains alcohol,7.4,146,,clindamycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aldactone,Acne,35%,C(risk cannot be ruled out),contains alcohol,7.6,8,,Aldactone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tretinoin,Acne,30%,C(risk cannot be ruled out),not contains alcohol,7.7,439,,tretinoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotretinoin,Acne,26%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,8,999,,isotretinoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bactrim,Acne,20%,D(evidence of risk),contains alcohol,8.5,96,,Bactrim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retin-a,Acne,17%,C(risk cannot be ruled out),not contains alcohol,7.9,86,,Retin-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aczone,Acne,13%,C(risk cannot be ruled out),not contains alcohol,7.4,227,,Aczone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide,Acne,13%,C(risk cannot be ruled out),not contains alcohol,7.8,51,,benzoyl peroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
differin,Acne,12%,C(risk cannot be ruled out),not contains alcohol,6,329,,Differin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epiduo,Acne,12%,C(risk cannot be ruled out),not contains alcohol,7.3,698,,Epiduo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapalene,Acne,9%,C(risk cannot be ruled out),not contains alcohol,6.3,499,,adapalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cephalexin,Acne,9%,B(no risk in animal studies),not contains alcohol,8.4,8,,cephalexin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doryx,Acne,9%,D(evidence of risk),contains alcohol,7.5,57,,Doryx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetracycline,Acne,9%,D(evidence of risk),not contains alcohol,6.3,55,,tetracycline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
septra,Acne,8%,D(evidence of risk),contains alcohol,10,2,,Septra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solodyn,Acne,8%,D(evidence of risk),not contains alcohol,6.9,99,,Solodyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tazorac,Acne,8%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),not contains alcohol,8,30,,Tazorac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vibramycin,Acne,8%,D(evidence of risk),contains alcohol,8.3,4,,Vibramycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
